Data,Hora,Pressao Atmosferica,Temperatura,Altitude Primeira fórmula(S/T),Altitude Segunda fórmula(C/T)
2024/05/07, 09:57,957.6023,31.5954,473.95,501.25
2024/05/07, 09:57,957.6096,31.6131,473.89,501.22
2024/05/07, 09:57,957.6183,31.6307,473.81,501.16
2024/05/07, 09:57,957.6293,31.6511,473.71,501.1
2024/05/07, 09:57,957.6312,31.6696,473.7,501.11
2024/05/07, 09:57,957.6287,31.6884,473.72,501.16
2024/05/07, 09:57,957.6124,31.705,473.86,501.34
2024/05/07, 09:58,957.6128,31.7204,473.86,501.36
2024/05/07, 09:58,957.6055,31.7348,473.92,501.45
2024/05/07, 09:58,957.6014,31.7486,473.96,501.51
2024/05/07, 09:58,957.5975,31.7621,473.99,501.57
2024/05/07, 09:58,957.593,31.7774,474.03,501.64
2024/05/07, 09:58,957.6041,31.7981,473.93,501.57
2024/05/07, 09:58,957.6028,31.816,473.94,501.61
2024/05/07, 09:58,957.6064,31.8314,473.91,501.6
2024/05/07, 09:58,957.6093,31.846,473.89,501.6
2024/05/07, 09:58,957.6141,31.8598,473.85,501.58
2024/05/07, 09:58,957.6103,31.8786,473.88,501.65
2024/05/07, 09:58,957.6099,31.8991,473.88,501.68
2024/05/07, 09:59,957.6015,31.9202,473.96,501.8
2024/05/07, 09:59,957.6166,31.9461,473.82,501.7
2024/05/07, 09:59,957.623,31.9697,473.77,501.68
2024/05/07, 09:59,957.6197,31.9935,473.8,501.75
2024/05/07, 09:59,957.6224,32.0159,473.77,501.76
2024/05/07, 09:59,957.6204,32.0374,473.79,501.81
2024/05/07, 09:59,957.618,32.0601,473.81,501.87
2024/05/07, 09:59,957.6207,32.0802,473.79,501.88
2024/05/07, 09:59,957.6342,32.1072,473.67,501.8
2024/05/07, 09:59,957.6297,32.1324,473.71,501.88
2024/05/07, 09:59,957.6273,32.1561,473.73,501.95
2024/05/07, 09:59,957.633,32.1791,473.68,501.93
2024/05/07, 10:00,957.6425,32.2035,473.6,501.88
2024/05/07, 10:00,957.6439,32.2291,473.59,501.91
2024/05/07, 10:00,957.6478,32.2541,473.55,501.92
2024/05/07, 10:00,957.6532,32.2808,473.51,501.91
2024/05/07, 10:00,957.6453,32.3079,473.57,502.03
2024/05/07, 10:00,957.6421,32.3365,473.6,502.11
2024/05/07, 10:00,957.6429,32.3643,473.6,502.14
2024/05/07, 10:00,957.6417,32.3918,473.61,502.2
2024/05/07, 10:00,957.6459,32.4254,473.57,502.22
2024/05/07, 10:00,957.6599,32.4655,473.45,502.15
2024/05/07, 10:00,957.6436,32.5012,473.59,502.36
2024/05/07, 10:00,957.6263,32.5378,473.74,502.58
2024/05/07, 10:01,957.6131,32.5724,473.85,502.76
2024/05/07, 10:01,957.6127,32.6007,473.86,502.81
2024/05/07, 10:01,957.617,32.6312,473.82,502.82
2024/05/07, 10:01,957.6275,32.6601,473.73,502.77
2024/05/07, 10:01,957.6206,32.689,473.79,502.88
2024/05/07, 10:01,957.6236,32.7129,473.76,502.89
2024/05/07, 10:01,957.6422,32.7421,473.6,502.77
2024/05/07, 10:01,957.6485,32.7664,473.55,502.75
2024/05/07, 10:01,957.6498,32.7892,473.54,502.78
2024/05/07, 10:01,957.6586,32.8145,473.46,502.74
2024/05/07, 10:01,957.6607,32.8386,473.44,502.76
2024/05/07, 10:01,957.6512,32.8608,473.52,502.88
2024/05/07, 10:02,957.6589,32.8821,473.46,502.85
2024/05/07, 10:02,957.6605,32.9021,473.44,502.86
2024/05/07, 10:02,957.6629,32.9212,473.42,502.87
2024/05/07, 10:02,957.6566,32.9401,473.48,502.96
2024/05/07, 10:02,957.6501,32.9605,473.53,503.06
2024/05/07, 10:02,957.6517,32.9795,473.52,503.07
2024/05/07, 10:02,957.6549,32.9961,473.49,503.07
2024/05/07, 10:02,957.6613,33.0144,473.43,503.04
2024/05/07, 10:02,957.6638,33.0332,473.41,503.05
2024/05/07, 10:02,957.6627,33.0488,473.42,503.09
2024/05/07, 10:02,957.665,33.0707,473.4,503.1
2024/05/07, 10:02,957.6707,33.0925,473.35,503.08
2024/05/07, 10:03,957.6767,33.1102,473.3,503.06
2024/05/07, 10:03,957.6831,33.1251,473.24,503.02
2024/05/07, 10:03,957.689,33.1391,473.19,502.99
2024/05/07, 10:03,957.6855,33.1524,473.22,503.04
2024/05/07, 10:03,957.6942,33.1659,473.15,502.99
2024/05/07, 10:03,957.7065,33.1777,473.04,502.89
2024/05/07, 10:03,957.7035,33.1944,473.07,502.95
2024/05/07, 10:03,957.6995,33.2144,473.1,503.02
2024/05/07, 10:03,957.6981,33.2366,473.11,503.07
2024/05/07, 10:03,957.7155,33.2578,472.96,502.94
2024/05/07, 10:03,957.7058,33.2768,473.05,503.06
2024/05/07, 10:03,957.6987,33.2981,473.11,503.16
2024/05/07, 10:04,957.7085,33.321,473.02,503.11
2024/05/07, 10:04,957.6942,33.3451,473.15,503.28
2024/05/07, 10:04,957.6945,33.3728,473.15,503.32
2024/05/07, 10:04,957.7035,33.4013,473.07,503.29
2024/05/07, 10:04,957.6992,33.4252,473.1,503.37
2024/05/07, 10:04,957.6881,33.4499,473.2,503.51
2024/05/07, 10:04,957.6801,33.4736,473.27,503.62
2024/05/07, 10:04,957.6984,33.4975,473.11,503.49
2024/05/07, 10:04,957.6827,33.5199,473.25,503.67
2024/05/07, 10:04,957.668,33.5423,473.38,503.85
2024/05/07, 10:04,957.6548,33.5635,473.49,504.0
2024/05/07, 10:05,957.6395,33.5835,473.62,504.18
2024/05/07, 10:05,957.6431,33.604,473.59,504.18
2024/05/07, 10:05,957.6359,33.6254,473.66,504.28
2024/05/07, 10:05,957.6373,33.6483,473.64,504.31
2024/05/07, 10:05,957.6314,33.6697,473.7,504.4
2024/05/07, 10:05,957.6351,33.6958,473.66,504.4
2024/05/07, 10:05,957.6483,33.7219,473.55,504.32
2024/05/07, 10:05,957.6508,33.7418,473.53,504.33
2024/05/07, 10:05,957.6448,33.7615,473.58,504.42
2024/05/07, 10:05,957.634,33.7812,473.67,504.55
2024/05/07, 10:05,957.6252,33.8041,473.75,504.67
2024/05/07, 10:05,957.6257,33.8274,473.75,504.71
2024/05/07, 10:06,957.624,33.8486,473.76,504.76
2024/05/07, 10:06,957.6362,33.8704,473.65,504.68
2024/05/07, 10:06,957.6509,33.8928,473.53,504.58
2024/05/07, 10:06,957.6459,33.9185,473.57,504.67
2024/05/07, 10:06,957.6426,33.9471,473.6,504.75
2024/05/07, 10:06,957.6414,33.9774,473.61,504.81
2024/05/07, 10:06,957.6334,34.0131,473.68,504.94
2024/05/07, 10:06,957.6234,34.0482,473.77,505.09
2024/05/07, 10:06,957.6378,34.0812,473.64,505.01
2024/05/07, 10:06,957.6216,34.1147,473.78,505.22
2024/05/07, 10:06,957.6033,34.1474,473.94,505.44
2024/05/07, 10:06,957.6023,34.1789,473.95,505.5
2024/05/07, 10:07,957.5768,34.2063,474.17,505.79
2024/05/07, 10:07,957.5758,34.2338,474.18,505.84
2024/05/07, 10:07,957.5728,34.2587,474.21,505.91
2024/05/07, 10:07,957.587,34.2802,474.08,505.81
2024/05/07, 10:07,957.5905,34.2977,474.05,505.81
2024/05/07, 10:07,957.5955,34.3192,474.01,505.8
2024/05/07, 10:07,957.5886,34.3428,474.07,505.9
2024/05/07, 10:07,957.5921,34.3697,474.04,505.91
2024/05/07, 10:07,957.589,34.3955,474.06,505.98
2024/05/07, 10:07,957.587,34.4235,474.08,506.05
2024/05/07, 10:07,957.5994,34.4517,473.97,505.98
2024/05/07, 10:07,957.5946,34.4804,474.02,506.07
2024/05/07, 10:08,957.5913,34.5132,474.04,506.16
2024/05/07, 10:08,957.5929,34.5449,474.03,506.19
2024/05/07, 10:08,957.5939,34.5724,474.02,506.23
2024/05/07, 10:08,957.5909,34.5972,474.05,506.3
2024/05/07, 10:08,957.5789,34.6182,474.15,506.44
2024/05/07, 10:08,957.5778,34.6409,474.16,506.49
2024/05/07, 10:08,957.5999,34.6679,473.97,506.33
2024/05/07, 10:08,957.5931,34.6885,474.03,506.43
2024/05/07, 10:08,957.5888,34.7117,474.07,506.51
2024/05/07, 10:08,957.6001,34.7408,473.97,506.45
2024/05/07, 10:08,957.5994,34.7721,473.97,506.51
2024/05/07, 10:08,957.5914,34.7999,474.04,506.63
2024/05/07, 10:09,957.5806,34.8232,474.14,506.77
2024/05/07, 10:09,957.5874,34.8439,474.08,506.74
2024/05/07, 10:09,957.5764,34.8647,474.17,506.87
2024/05/07, 10:09,957.5803,34.8835,474.14,506.87
2024/05/07, 10:09,957.5503,34.9,474.4,507.17
2024/05/07, 10:09,957.5623,34.9177,474.3,507.09
2024/05/07, 10:09,957.5569,34.9323,474.34,507.17
2024/05/07, 10:09,957.5486,34.9435,474.42,507.26
2024/05/07, 10:09,957.5408,34.9532,474.48,507.35
2024/05/07, 10:09,957.5496,34.9599,474.41,507.28
2024/05/07, 10:09,957.5552,34.9678,474.36,507.24
2024/05/07, 10:09,957.5591,34.9776,474.33,507.22
2024/05/07, 10:10,957.567,34.9944,474.26,507.17
2024/05/07, 10:10,957.5793,35.0081,474.15,507.08
2024/05/07, 10:10,957.5793,35.024,474.15,507.11
2024/05/07, 10:10,957.5717,35.037,474.22,507.2
2024/05/07, 10:10,957.5812,35.0488,474.13,507.13
2024/05/07, 10:10,957.5733,35.0639,474.2,507.23
2024/05/07, 10:10,957.5837,35.0825,474.11,507.16
2024/05/07, 10:10,957.5887,35.1113,474.07,507.16
2024/05/07, 10:10,957.5861,35.1376,474.09,507.23
2024/05/07, 10:10,957.5831,35.1622,474.12,507.3
2024/05/07, 10:10,957.5817,35.1865,474.13,507.35
2024/05/07, 10:10,957.5815,35.2074,474.13,507.39
2024/05/07, 10:11,957.5804,35.2266,474.14,507.43
2024/05/07, 10:11,957.5787,35.2472,474.15,507.48
2024/05/07, 10:11,957.5651,35.265,474.27,507.64
2024/05/07, 10:11,957.5646,35.2837,474.28,507.67
2024/05/07, 10:11,957.5656,35.3011,474.27,507.69
2024/05/07, 10:11,957.5734,35.3128,474.2,507.64
2024/05/07, 10:11,957.5645,35.3217,474.28,507.74
2024/05/07, 10:11,957.564,35.3337,474.28,507.76
2024/05/07, 10:11,957.5815,35.3518,474.13,507.63
2024/05/07, 10:11,957.5831,35.3766,474.12,507.65
2024/05/07, 10:11,957.5613,35.4026,474.31,507.9
2024/05/07, 10:11,957.5477,35.4293,474.42,508.07
2024/05/07, 10:12,957.5386,35.4568,474.5,508.2
2024/05/07, 10:12,957.5376,35.4852,474.51,508.26
2024/05/07, 10:12,957.5389,35.5118,474.5,508.29
2024/05/07, 10:12,957.5485,35.5402,474.42,508.24
2024/05/07, 10:12,957.5502,35.5679,474.4,508.27
2024/05/07, 10:12,957.5492,35.5934,474.41,508.33
2024/05/07, 10:12,957.5588,35.6249,474.33,508.29
2024/05/07, 10:12,957.5599,35.657,474.32,508.33
2024/05/07, 10:12,957.553,35.6865,474.38,508.44
2024/05/07, 10:12,957.5622,35.7182,474.3,508.41
2024/05/07, 10:12,957.5559,35.7456,474.35,508.51
2024/05/07, 10:12,957.5599,35.7727,474.32,508.52
2024/05/07, 10:13,957.5676,35.7977,474.25,508.49
2024/05/07, 10:13,957.5701,35.8204,474.23,508.5
2024/05/07, 10:13,957.5605,35.8467,474.31,508.64
2024/05/07, 10:13,957.559,35.8731,474.33,508.69
2024/05/07, 10:13,957.5471,35.8995,474.43,508.85
2024/05/07, 10:13,957.5432,35.9255,474.46,508.93
2024/05/07, 10:13,957.5251,35.9454,474.62,509.13
2024/05/07, 10:13,957.5352,35.957,474.53,509.06
2024/05/07, 10:13,957.5309,35.9702,474.57,509.12
2024/05/07, 10:13,957.528,35.9914,474.6,509.18
2024/05/07, 10:13,957.5323,36.0141,474.56,509.18
2024/05/07, 10:13,957.5381,36.0386,474.51,509.16
2024/05/07, 10:14,957.5276,36.0578,474.6,509.29
2024/05/07, 10:14,957.5186,36.0715,474.68,509.4
2024/05/07, 10:14,957.5264,36.0882,474.61,509.35
2024/05/07, 10:14,957.5187,36.1061,474.68,509.46
2024/05/07, 10:14,957.5201,36.1232,474.67,509.47
2024/05/07, 10:14,957.5258,36.1413,474.62,509.45
2024/05/07, 10:14,957.5322,36.1636,474.56,509.42
2024/05/07, 10:14,957.5197,36.1874,474.67,509.58
2024/05/07, 10:14,957.5167,36.2118,474.7,509.65
2024/05/07, 10:14,957.5139,36.2367,474.72,509.72
2024/05/07, 10:14,957.5118,36.2673,474.74,509.79
2024/05/07, 10:14,957.5184,36.2972,474.68,509.77
2024/05/07, 10:15,957.5148,36.3257,474.71,509.85
2024/05/07, 10:15,957.5237,36.359,474.63,509.82
2024/05/07, 10:15,957.5518,36.393,474.39,509.62
2024/05/07, 10:15,957.5474,36.4217,474.43,509.71
2024/05/07, 10:15,957.5482,36.4544,474.42,509.75
2024/05/07, 10:15,957.5426,36.4867,474.47,509.86
2024/05/07, 10:15,957.5361,36.518,474.53,509.97
2024/05/07, 10:15,957.5413,36.5523,474.48,509.98
2024/05/07, 10:15,957.5418,36.5913,474.48,510.04
2024/05/07, 10:15,957.5396,36.6272,474.5,510.12
2024/05/07, 10:15,957.5369,36.6639,474.52,510.2
2024/05/07, 10:15,957.5449,36.6997,474.45,510.19
2024/05/07, 10:16,957.535,36.7339,474.54,510.34
2024/05/07, 10:16,957.5391,36.7689,474.5,510.36
2024/05/07, 10:16,957.5411,36.8044,474.48,510.4
2024/05/07, 10:16,957.5297,36.8391,474.58,510.56
2024/05/07, 10:16,957.5266,36.8709,474.61,510.64
2024/05/07, 10:16,957.5358,36.9059,474.53,510.61
2024/05/07, 10:16,957.5472,36.9414,474.43,510.56
2024/05/07, 10:16,957.5394,36.9734,474.5,510.69
2024/05/07, 10:16,957.5279,37.0041,474.6,510.85
2024/05/07, 10:16,957.5271,37.0342,474.6,510.91
2024/05/07, 10:16,957.5251,37.066,474.62,510.98
2024/05/07, 10:16,957.5148,37.0927,474.71,511.12
2024/05/07, 10:17,957.5164,37.1182,474.7,511.14
2024/05/07, 10:17,957.5197,37.1442,474.67,511.16
2024/05/07, 10:17,957.5309,37.1677,474.57,511.09
2024/05/07, 10:17,957.5239,37.1902,474.63,511.19
2024/05/07, 10:17,957.5234,37.2122,474.64,511.23
2024/05/07, 10:17,957.5273,37.2312,474.6,511.23
2024/05/07, 10:17,957.5305,37.2467,474.57,511.22
2024/05/07, 10:17,957.5253,37.2618,474.62,511.3
2024/05/07, 10:17,957.524,37.2736,474.63,511.33
2024/05/07, 10:17,957.5212,37.2826,474.66,511.37
2024/05/07, 10:17,957.5268,37.2873,474.61,511.32
2024/05/07, 10:17,957.5156,37.2913,474.7,511.44
2024/05/07, 10:18,957.5131,37.2923,474.73,511.46
2024/05/07, 10:18,957.5131,37.2911,474.73,511.46
2024/05/07, 10:18,957.5187,37.2926,474.68,511.41
2024/05/07, 10:18,957.5043,37.2932,474.8,511.55
2024/05/07, 10:18,957.5149,37.2958,474.71,511.45
2024/05/07, 10:18,957.5305,37.2979,474.57,511.31
2024/05/07, 10:18,957.5364,37.3004,474.52,511.26
2024/05/07, 10:18,957.5294,37.3021,474.58,511.32
2024/05/07, 10:18,957.5221,37.3023,474.65,511.39
2024/05/07, 10:18,957.5327,37.3046,474.56,511.3
2024/05/07, 10:18,957.5377,37.3066,474.51,511.25
2024/05/07, 10:18,957.5308,37.3044,474.57,511.32
2024/05/07, 10:19,957.5443,37.3051,474.45,511.19
2024/05/07, 10:19,957.5569,37.3057,474.34,511.07
2024/05/07, 10:19,957.5595,37.3053,474.32,511.05
2024/05/07, 10:19,957.5565,37.3015,474.35,511.07
2024/05/07, 10:19,957.5621,37.3002,474.3,511.01
2024/05/07, 10:19,957.5628,37.2981,474.29,511.0
2024/05/07, 10:19,957.5671,37.2947,474.26,510.96
2024/05/07, 10:19,957.5564,37.2896,474.35,511.05
2024/05/07, 10:19,957.557,37.286,474.34,511.04
2024/05/07, 10:19,957.5647,37.2803,474.28,510.96
2024/05/07, 10:19,957.5667,37.273,474.26,510.93
2024/05/07, 10:19,957.5709,37.2674,474.22,510.88
2024/05/07, 10:20,957.5815,37.2628,474.13,510.77
2024/05/07, 10:20,957.5867,37.2593,474.08,510.72
2024/05/07, 10:20,957.5939,37.2519,474.02,510.64
2024/05/07, 10:20,957.5862,37.2446,474.09,510.7
2024/05/07, 10:20,957.5795,37.2349,474.15,510.74
2024/05/07, 10:20,957.5873,37.224,474.08,510.65
2024/05/07, 10:20,957.5979,37.2131,473.99,510.54
2024/05/07, 10:20,957.5768,37.1983,474.17,510.71
2024/05/07, 10:20,957.5753,37.1876,474.18,510.71
2024/05/07, 10:20,957.5804,37.1803,474.14,510.65
2024/05/07, 10:20,957.5773,37.1736,474.17,510.66
2024/05/07, 10:20,957.5695,37.167,474.23,510.73
2024/05/07, 10:21,957.5676,37.1612,474.25,510.73
2024/05/07, 10:21,957.5695,37.1532,474.23,510.7
2024/05/07, 10:21,957.5688,37.145,474.24,510.7
2024/05/07, 10:21,957.5691,37.1366,474.24,510.68
2024/05/07, 10:21,957.5643,37.1294,474.28,510.71
2024/05/07, 10:21,957.5582,37.1232,474.33,510.76
2024/05/07, 10:21,957.5613,37.1169,474.31,510.72
2024/05/07, 10:21,957.5566,37.1078,474.35,510.75
2024/05/07, 10:21,957.5499,37.1024,474.41,510.8
2024/05/07, 10:21,957.5474,37.0959,474.43,510.82
2024/05/07, 10:21,957.5598,37.0877,474.32,510.69
2024/05/07, 10:21,957.543,37.0794,474.47,510.83
2024/05/07, 10:22,957.5387,37.0711,474.5,510.86
2024/05/07, 10:22,957.537,37.0619,474.52,510.86
2024/05/07, 10:22,957.5396,37.0495,474.5,510.81
2024/05/07, 10:22,957.5348,37.0377,474.54,510.84
2024/05/07, 10:22,957.535,37.0273,474.54,510.82
2024/05/07, 10:22,957.5383,37.0165,474.51,510.77
2024/05/07, 10:22,957.5399,37.0042,474.49,510.74
2024/05/07, 10:22,957.5387,36.9896,474.5,510.72
2024/05/07, 10:22,957.5391,36.9758,474.5,510.7
2024/05/07, 10:22,957.5323,36.962,474.56,510.74
2024/05/07, 10:22,957.5302,36.9479,474.58,510.73
2024/05/07, 10:22,957.5442,36.9375,474.46,510.59
2024/05/07, 10:23,957.5401,36.9277,474.49,510.61
2024/05/07, 10:23,957.5398,36.9213,474.49,510.6
2024/05/07, 10:23,957.536,36.9137,474.53,510.62
2024/05/07, 10:23,957.5341,36.9082,474.54,510.63
2024/05/07, 10:23,957.5302,36.9027,474.58,510.66
2024/05/07, 10:23,957.5297,36.8998,474.58,510.66
2024/05/07, 10:23,957.5363,36.8976,474.52,510.59
2024/05/07, 10:23,957.5442,36.8996,474.46,510.52
2024/05/07, 10:23,957.5467,36.9024,474.43,510.5
2024/05/07, 10:23,957.5402,36.9057,474.49,510.57
2024/05/07, 10:23,957.5324,36.9064,474.56,510.64
2024/05/07, 10:23,957.5273,36.9074,474.6,510.69
2024/05/07, 10:24,957.5263,36.908,474.61,510.7
2024/05/07, 10:24,957.5369,36.9104,474.52,510.61
2024/05/07, 10:24,957.5305,36.9141,474.57,510.68
2024/05/07, 10:24,957.5333,36.9159,474.55,510.65
2024/05/07, 10:24,957.5406,36.9169,474.49,510.59
2024/05/07, 10:24,957.5373,36.9176,474.52,510.62
2024/05/07, 10:24,957.5257,36.9195,474.62,510.73
2024/05/07, 10:24,957.5229,36.9212,474.64,510.76
2024/05/07, 10:24,957.5084,36.9238,474.77,510.9
2024/05/07, 10:24,957.502,36.9282,474.82,510.97
2024/05/07, 10:24,957.5085,36.9336,474.77,510.91
2024/05/07, 10:25,957.5033,36.9424,474.81,510.98
2024/05/07, 10:25,957.5176,36.9543,474.69,510.86
2024/05/07, 10:25,957.5272,36.9659,474.6,510.79
2024/05/07, 10:25,957.5183,36.9775,474.68,510.89
2024/05/07, 10:25,957.5225,36.993,474.64,510.88
2024/05/07, 10:25,957.5323,37.007,474.56,510.81
2024/05/07, 10:25,957.5318,37.0232,474.56,510.84
2024/05/07, 10:25,957.5295,37.0442,474.58,510.9
2024/05/07, 10:25,957.5389,37.0709,474.5,510.85
2024/05/07, 10:25,957.5397,37.0843,474.49,510.87
2024/05/07, 10:25,957.5385,37.0926,474.51,510.89
2024/05/07, 10:25,957.5278,37.0963,474.6,511.0
2024/05/07, 10:26,957.5307,37.1012,474.57,510.98
2024/05/07, 10:26,957.546,37.109,474.44,510.85
2024/05/07, 10:26,957.546,37.1183,474.44,510.87
2024/05/07, 10:26,957.5415,37.1228,474.48,510.92
2024/05/07, 10:26,957.5348,37.125,474.54,510.98
2024/05/07, 10:26,957.5449,37.125,474.45,510.89
2024/05/07, 10:26,957.5391,37.1256,474.5,510.94
2024/05/07, 10:26,957.5338,37.1237,474.55,510.99
2024/05/07, 10:26,957.538,37.1222,474.51,510.95
2024/05/07, 10:26,957.5436,37.1197,474.46,510.89
2024/05/07, 10:26,957.5435,37.1167,474.46,510.89
2024/05/07, 10:26,957.5413,37.1126,474.48,510.9
2024/05/07, 10:27,957.5288,37.1091,474.59,511.01
2024/05/07, 10:27,957.5287,37.1064,474.59,511.01
2024/05/07, 10:27,957.535,37.1004,474.54,510.94
2024/05/07, 10:27,957.5341,37.0943,474.54,510.94
2024/05/07, 10:27,957.5259,37.0898,474.61,511.01
2024/05/07, 10:27,957.5276,37.0812,474.6,510.98
2024/05/07, 10:27,957.5321,37.079,474.56,510.93
2024/05/07, 10:27,957.5373,37.0749,474.52,510.88
2024/05/07, 10:27,957.5388,37.0728,474.5,510.86
2024/05/07, 10:27,957.5441,37.0765,474.46,510.82
2024/05/07, 10:27,957.5594,37.0921,474.32,510.7
2024/05/07, 10:27,957.5693,37.1134,474.24,510.64
2024/05/07, 10:28,957.5685,37.1392,474.24,510.69
2024/05/07, 10:28,957.5513,37.1643,474.39,510.89
2024/05/07, 10:28,957.5331,37.1804,474.55,511.09
2024/05/07, 10:28,957.5298,37.1843,474.58,511.13
2024/05/07, 10:28,957.5319,37.1862,474.56,511.11
2024/05/07, 10:28,957.5285,37.1893,474.59,511.15
2024/05/07, 10:28,957.5306,37.1908,474.57,511.13
2024/05/07, 10:28,957.5489,37.1942,474.41,510.96
2024/05/07, 10:28,957.5476,37.2021,474.43,510.99
2024/05/07, 10:28,957.5527,37.2169,474.38,510.97
2024/05/07, 10:28,957.5584,37.2345,474.33,510.94
2024/05/07, 10:28,957.563,37.2595,474.29,510.94
2024/05/07, 10:29,957.5541,37.2877,474.37,511.07
2024/05/07, 10:29,957.5463,37.3189,474.44,511.19
2024/05/07, 10:29,957.5355,37.3482,474.53,511.34
2024/05/07, 10:29,957.5142,37.3749,474.72,511.59
2024/05/07, 10:29,957.5089,37.4014,474.76,511.68
2024/05/07, 10:29,957.5022,37.4256,474.82,511.78
2024/05/07, 10:29,957.4892,37.4496,474.93,511.95
2024/05/07, 10:29,957.4943,37.4716,474.89,511.93
2024/05/07, 10:29,957.4987,37.4875,474.85,511.92
2024/05/07, 10:29,957.5046,37.5101,474.8,511.9
2024/05/07, 10:29,957.4991,37.5437,474.85,512.01
2024/05/07, 10:29,957.5034,37.5814,474.81,512.03
2024/05/07, 10:30,957.5055,37.6191,474.79,512.07
2024/05/07, 10:30,957.5101,37.6621,474.75,512.1
2024/05/07, 10:30,957.5033,37.6993,474.81,512.22
2024/05/07, 10:30,957.4933,37.7332,474.9,512.37
2024/05/07, 10:30,957.4905,37.7666,474.92,512.46
2024/05/07, 10:30,957.4587,37.7974,475.2,512.81
2024/05/07, 10:30,957.4545,37.8311,475.24,512.9
2024/05/07, 10:30,957.479,37.8703,475.02,512.73
2024/05/07, 10:30,957.4758,37.9047,475.05,512.82
2024/05/07, 10:30,957.4758,37.9404,475.05,512.88
2024/05/07, 10:30,957.4819,37.9759,475.0,512.88
2024/05/07, 10:30,957.4852,38.0114,474.97,512.91
2024/05/07, 10:31,957.5034,38.0477,474.81,512.8
2024/05/07, 10:31,957.5165,38.084,474.7,512.73
2024/05/07, 10:31,957.5115,38.1212,474.74,512.84
2024/05/07, 10:31,957.498,38.1581,474.86,513.03
2024/05/07, 10:31,957.4987,38.2006,474.85,513.09
2024/05/07, 10:31,957.4879,38.2405,474.95,513.26
2024/05/07, 10:31,957.4824,38.2804,474.99,513.38
2024/05/07, 10:31,957.4713,38.3176,475.09,513.54
2024/05/07, 10:31,957.4583,38.3596,475.2,513.74
2024/05/07, 10:31,957.4398,38.4,475.37,513.98
2024/05/07, 10:31,957.4304,38.4386,475.45,514.13
2024/05/07, 10:31,957.4456,38.4838,475.31,514.06
